Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title,FamilyName,TitleEncoded,FamilySize,EmbarkedNum,TicketNumber,TicketHeader,CabinLetter,CabinNumber,Bridge,PassengerByBridge,PassengerByClass,SocialClass
0,1,0,0.5,0,1,PC 17601,0.05410739813385612,,C, Don,Uruchurtu,9.0,1,2,17601,PC,nan,0,5,1.0,0.6715399610136452,3
1,1,1,0.3,1,1,PC 17569,0.2859895551532101,B78,C, Mrs,Spencer,1.0,2,2,17569,PC,B,78,1,0.17982456140350878,0.6715399610136452,1
1,3,1,0.225,0,1,335677,0.015126992566498259,,Q, Miss,Glynn,2.0,1,1,335677,335677,nan,0,6,0.5292397660818714,1.0,1
0,2,0,0.825,0,1,C.A. 24579,0.020494635090094415,,S, Mr,Wheadon,0.0,1,0,24579,C.A.,nan,0,6,0.5292397660818714,0.6569200779727096,4
0,1,0,0.35,1,1,PC 17604,0.16038672010106,,C, Mr,Meyer,0.0,2,2,17604,PC,nan,0,2,0.45321637426900585,0.6715399610136452,4
0,1,0,0.525,1,1,113789,0.10149724044618187,,S, Mr,Holverson,0.0,2,0,113789,113789,nan,0,3,0.4166666666666667,0.6715399610136452,4
1,3,0,0.325,0,1,2677,0.014110458666029575,,C, Mr,Mamee,0.0,1,2,2677,2677,nan,0,6,0.5292397660818714,1.0,4
0,3,0,0.2625,0,1,A./5. 2152,0.015712553569072387,,S, Mr,Cann,0.0,1,0,2152,A./5.,nan,0,6,0.5292397660818714,1.0,4
0,3,1,0.225,2,1,345764,0.03513366015444757,,S, Miss,Vander Planke,2.0,3,0,345764,345764,nan,0,6,0.5292397660818714,1.0,1
1,3,1,0.175,1,1,2651,0.021942337075458514,,C, Miss,Nicola-Yarred,2.0,2,2,2651,2651,nan,0,6,0.5292397660818714,1.0,1
0,3,1,0.5,1,1,7546,0.018493968331299484,,S, Mrs,Ahlin,1.0,2,0,7546,7546,nan,0,6,0.5292397660818714,1.0,1
0,2,1,0.3375,1,1,11668,0.04098927018018883,,S, Mrs,Turpin,1.0,2,0,11668,11668,nan,0,5,1.0,0.6569200779727096,1
0,3,0,0.325,0,1,349253,0.015411575213749284,,C, Mr,Kraeff,0.0,1,2,349253,349253,nan,0,6,0.5292397660818714,1.0,4
1,2,1,0.0375,1,2,SC/Paris 2123,0.08115719346076702,,C, Miss,Laroche,2.0,3,2,2123,SC/Paris,nan,0,3,0.4166666666666667,0.6569200779727096,1
1,3,1,0.2375,0,1,330958,0.01537917417160685,,Q, Miss,Devaney,2.0,1,1,330958,330958,nan,0,6,0.5292397660818714,1.0,1
0,3,0,0.325,0,1,S.C./A.4. 23567,0.015712553569072387,,S, Mr,Rogers,0.0,1,0,23567,S.C./A.4.,nan,0,6,0.5292397660818714,1.0,4
0,3,0,0.325,1,1,370371,0.030253985132996517,,Q, Mr,Lennon,0.0,2,1,370371,370371,nan,0,6,0.5292397660818714,1.0,4
1,3,1,0.2875,0,1,14311,0.015126992566498259,,Q, Miss,O'Driscoll,2.0,1,1,14311,14311,nan,0,6,0.5292397660818714,1.0,1
0,3,0,0.325,2,1,2662,0.04231498029001666,,C, Mr,Samaan,0.0,3,2,2662,2662,nan,0,5,1.0,1.0,4
0,3,1,0.225,1,1,349237,0.034743286152731485,,S, Mrs,Arnold-Franchi,1.0,2,0,349237,349237,nan,0,6,0.5292397660818714,1.0,1
0,3,0,0.0875,4,1,3101295,0.07746484096553544,,S, Master,Panula,3.0,5,0,3101295,3101295,nan,0,4,0.8523391812865497,1.0,3
0,3,0,0.2625,0,1,A/4. 39886,0.01522458606692728,,S, Mr,Nosworthy,0.0,1,0,39886,A/4.,nan,0,6,0.5292397660818714,1.0,4
1,1,1,0.6125,1,1,PC 17572,0.1497654242623688,D33,C, Mrs,Harper,1.0,2,2,17572,PC,D,33,2,0.45321637426900585,0.6715399610136452,1
1,2,1,0.3625,1,1,2926,0.050748620223090936,,S, Mrs,Faunthorpe,1.0,2,0,2926,2926,nan,0,5,1.0,0.6569200779727096,1
0,1,0,0.8125,0,1,113509,0.1209753416358076,B30,C, Mr,Ostby,0.0,1,2,113509,113509,B,30,2,0.45321637426900585,0.6715399610136452,4
1,1,0,0.325,0,1,19947,0.06929138530460492,C52,S, Mr,Woolner,0.0,1,0,19947,19947,C,52,0,0.06140350877192982,0.6715399610136452,4
1,2,1,0.2625,0,1,C.A. 31026,0.020494635090094415,,S, Miss,Rugg,2.0,1,0,31026,C.A.,nan,0,6,0.5292397660818714,0.6569200779727096,1
0,3,0,0.35625,0,1,2697,0.014110458666029575,,C, Mr,Novel,0.0,1,2,2697,2697,nan,0,6,0.5292397660818714,1.0,4
1,2,1,0.0625,1,2,C.A. 34651,0.05416439273810667,,S, Miss,West,2.0,3,0,34651,C.A.,nan,0,5,1.0,0.6569200779727096,1
0,3,0,0.1375,5,2,CA 2144,0.09154270340242172,,S, Master,Goodwin,3.0,7,0,2144,CA,nan,0,3,0.4166666666666667,1.0,3
0,3,0,0.275,0,1,2669,0.014110458666029575,,C, Mr,Sirayanian,0.0,1,2,2669,2669,nan,0,6,0.5292397660818714,1.0,4
1,1,1,0.475,0,1,113572,0.15614960068643363,B28,S, Miss,Icard,2.0,1,0,113572,113572,B,28,2,0.45321637426900585,0.6715399610136452,1
0,1,0,0.5625,1,1,36973,0.16293234896625058,C83,S, Mr,Harris,0.0,2,0,36973,36973,C,83,2,0.45321637426900585,0.6715399610136452,4
0,3,0,0.05,3,2,347088,0.05445717323939373,,S, Master,Skoog,3.0,5,0,347088,347088,nan,0,5,1.0,1.0,3
0,1,0,0.325,0,1,PC 17605,0.05410739813385612,,C, Mr,Stewart,0.0,1,2,17605,PC,nan,0,5,1.0,0.6715399610136452,4
1,3,0,0.325,1,1,2661,0.029757819776815374,,C, Master,Moubarek,3.0,2,2,2661,2661,nan,0,6,0.5292397660818714,1.0,3
1,2,1,0.3625,0,1,C.A. 29395,0.020494635090094415,F33,S, Mrs,Nye,1.0,1,0,29395,C.A.,F,33,6,0.5292397660818714,0.6569200779727096,1
0,3,0,0.2375,0,1,S.P. 3464,0.015923941091001644,,S, Mr,Crease,0.0,1,0,3464,S.P.,nan,0,6,0.5292397660818714,1.0,4
1,3,1,0.2125,4,2,3101281,0.015468569817999833,,S, Miss,Andersson,2.0,6,0,3101281,3101281,nan,0,6,0.5292397660818714,1.0,1
0,3,0,0.325,2,1,315151,0.016908073949327893,,S, Mr,Kink,0.0,3,0,315151,315151,nan,0,6,0.5292397660818714,1.0,4
0,2,0,0.4,0,1,C.A. 33111,0.020494635090094415,,S, Mr,Jenkin,0.0,1,0,33111,C.A.,nan,0,6,0.5292397660818714,0.6569200779727096,4
0,3,1,0.2,5,2,CA 2144,0.09154270340242172,,S, Miss,Goodwin,2.0,7,0,2144,CA,nan,0,3,0.4166666666666667,1.0,1
0,2,0,0.2625,0,1,S.O.C. 14879,0.1434624456306609,,S, Mr,Hood,0.0,1,0,14879,S.O.C.,nan,0,2,0.45321637426900585,0.6569200779727096,4
0,3,0,0.325,1,1,2680,0.028212719478023115,,C, Mr,Chronopoulos,0.0,2,2,2680,2680,nan,0,6,0.5292397660818714,1.0,4
1,3,0,0.4,0,1,1601,0.11027245763075773,,S, Mr,Bing,0.0,1,0,1601,1601,nan,0,2,0.45321637426900585,1.0,4
0,3,0,0.3125,0,1,348123,0.014931805565640218,F G73,S, Mr,Moen,0.0,1,0,348123,348123,G,73,6,0.5292397660818714,1.0,4
0,3,0,0.325,0,1,349208,0.015411575213749284,,S, Mr,Staneff,0.0,1,0,349208,349208,nan,0,6,0.5292397660818714,1.0,4
0,3,0,0.325,0,1,374746,0.015712553569072387,,S, Mr,Moutal,0.0,1,0,374746,374746,nan,0,6,0.5292397660818714,1.0,4
1,2,0,0.010374999999999999,0,2,248738,0.056604230248832196,,S, Master,Caldwell,3.0,2,0,248738,248738,nan,0,5,1.0,0.6569200779727096,3
1,3,1,0.375,0,1,364516,0.024349578357040744,,S, Miss,Dowdell,2.0,1,0,364516,364516,nan,0,6,0.5292397660818714,1.0,1
0,3,0,0.275,0,1,345767,0.017566830077223785,,S, Mr,Waelens,0.0,1,0,345767,345767,nan,0,6,0.5292397660818714,1.0,4
1,3,0,0.3625,0,1,345779,0.018542765081513996,,S, Mr,Sheerlinck,0.0,1,0,345779,345779,nan,0,6,0.5292397660818714,1.0,4
1,3,1,0.2375,0,1,330932,0.015200187691820024,,Q, Miss,McDermott,2.0,1,1,330932,330932,nan,0,6,0.5292397660818714,1.0,1
0,1,0,0.35,0,1,113059,0.09193307740413781,,S, Mr,Carrau,0.0,1,0,113059,113059,nan,0,3,0.4166666666666667,0.6715399610136452,4
1,2,1,0.2125,0,1,SO/C 14885,0.020494635090094415,,S, Miss,Ilett,2.0,1,0,14885,SO/C,nan,0,6,0.5292397660818714,0.6569200779727096,1
1,3,1,0.4125,3,1,3101278,0.030937139635999665,,S, Mrs,Backstrom,1.0,4,0,3101278,3101278,nan,0,6,0.5292397660818714,1.0,1
0,3,0,0.2,1,3,W./C. 6608,0.06709553154495196,,S, Mr,Ford,0.0,4,0,6608,W./C.,nan,0,0,0.06140350877192982,1.0,4
0,3,0,0.325,0,1,SOTON/OQ 392086,0.015712553569072387,,S, Mr,Slocovski,0.0,1,0,392086,SOTON/OQ,nan,0,6,0.5292397660818714,1.0,4
1,1,1,0.2875,3,2,19950,0.5133418122566505,C23 C25 C27,S, Miss,Fortune,2.0,5,0,19950,19950,C,23,1,0.17982456140350878,0.6715399610136452,1
0,3,0,0.3,0,1,343275,0.015712553569072387,,S, Mr,Celotti,0.0,1,0,343275,343275,nan,0,6,0.5292397660818714,1.0,4
0,3,0,0.3625,0,1,343276,0.015712553569072387,,S, Mr,Christmann,0.0,1,0,343276,343276,nan,0,6,0.5292397660818714,1.0,4
0,3,0,0.25,0,1,347466,0.015330377421392339,,S, Mr,Andreasson,0.0,1,0,347466,347466,nan,0,6,0.5292397660818714,1.0,4
0,1,0,0.575,1,1,W.E.P. 5734,0.11940564777490723,E31,S, Mr,Chaffee,0.0,2,0,5734,W.E.P.,E,31,2,0.45321637426900585,0.6715399610136452,4
0,3,0,0.325,1,2,C.A. 2315,0.04015972542654215,,S, Mr,Dean,0.0,3,0,2315,C.A.,nan,0,5,1.0,1.0,4
0,3,0,0.7375,0,1,364500,0.014151057562208049,,S, Mr,Coxon,0.0,1,0,364500,364500,nan,0,6,0.5292397660818714,1.0,4
0,3,0,0.325,0,1,374910,0.015712553569072387,,S, Mr,Shorney,0.0,1,0,374910,374910,nan,0,6,0.5292397660818714,1.0,4
0,1,0,0.8875,0,1,PC 17754,0.06764049365134761,A5,C, Mr,Goldschmidt,0.0,1,2,17754,PC,A,5,0,0.06140350877192982,0.6715399610136452,4
1,1,0,0.2875,0,1,PC 17759,0.12366716556464086,D10 D12,C, Mr,Greenfield,0.0,1,2,17759,PC,D,10,2,0.45321637426900585,0.6715399610136452,4
1,2,1,0.425,0,1,231919,0.04489301019734967,,S, Mrs,Doling,1.0,1,0,231919,231919,nan,0,5,1.0,0.6569200779727096,1
0,2,0,0.425,1,1,244367,0.050748620223090936,,S, Mr,Kantor,0.0,2,0,244367,244367,nan,0,5,1.0,0.6569200779727096,4
0,3,1,0.35,0,1,349245,0.015411575213749284,,S, Miss,Petranec,2.0,1,0,349245,349245,nan,0,6,0.5292397660818714,1.0,1
0,3,0,0.325,0,1,349215,0.015411575213749284,,S, Mr,Petroff,0.0,1,0,349215,349215,nan,0,6,0.5292397660818714,1.0,4
0,1,0,0.2625,0,1,35281,0.15085515328815924,D26,S, Mr,White,0.0,1,0,35281,35281,D,26,2,0.45321637426900585,0.6715399610136452,4
0,3,0,0.4125,0,1,7540,0.016891873428256675,,S, Mr,Johansson,0.0,1,0,7540,7540,nan,0,6,0.5292397660818714,1.0,4
0,3,0,0.4625,2,1,3101276,0.015468569817999833,,S, Mr,Gustafsson,0.0,3,0,3101276,3101276,nan,0,6,0.5292397660818714,1.0,4
0,3,0,0.35,0,1,349207,0.015411575213749284,,S, Mr,Mionoff,0.0,1,0,349207,349207,nan,0,6,0.5292397660818714,1.0,4
1,3,1,0.2625,0,1,343120,0.014931805565640218,,S, Miss,Salkjelsvik,2.0,1,0,343120,343120,nan,0,6,0.5292397660818714,1.0,1
1,3,0,0.325,0,1,312991,0.015175789316712771,,S, Mr,Moss,0.0,1,0,312991,312991,nan,0,6,0.5292397660818714,1.0,4
0,3,0,0.475,0,1,349249,0.015411575213749284,,S, Mr,Rekic,0.0,1,0,349249,349249,nan,0,6,0.5292397660818714,1.0,4
1,3,1,0.275,1,1,371110,0.04713766070721715,,Q, Miss,Moran,2.0,2,1,371110,371110,nan,0,5,1.0,1.0,1
0,1,0,0.5875,0,1,110465,0.10149724044618187,C110,S, Mr,Porter,0.0,1,0,110465,110465,C,110,3,0.4166666666666667,0.6715399610136452,4
0,3,1,0.18125,1,1,2665,0.028212719478023115,,C, Miss,Zabour,2.0,2,2,2665,2665,nan,0,6,0.5292397660818714,1.0,1
0,3,0,0.275,0,1,324669,0.015712553569072387,,S, Mr,Barton,0.0,1,0,324669,324669,nan,0,6,0.5292397660818714,1.0,4
0,3,1,0.25,1,1,4136,0.019177122834302632,,S, Miss,Jussila,2.0,2,0,4136,4136,nan,0,6,0.5292397660818714,1.0,1
0,3,1,0.2125,0,1,2627,0.028220722145058292,,C, Miss,Attalah,2.0,1,2,2627,2627,nan,0,6,0.5292397660818714,1.0,1
0,3,0,0.2625,0,1,STON/O 2. 3101294,0.015468569817999833,,S, Mr,Pekoniemi,0.0,1,0,3101294,STON/O,nan,0,6,0.5292397660818714,1.0,4
0,3,0,0.88125,0,1,370369,0.015126992566498259,,Q, Mr,Connors,0.0,1,1,370369,370369,nan,0,6,0.5292397660818714,1.0,4
0,2,0,0.3625,1,1,11668,0.04098927018018883,,S, Mr,Turpin,0.0,2,0,11668,11668,nan,0,5,1.0,0.6569200779727096,4
0,1,0,0.3,0,1,PC 17558,0.4831284260198326,B58 B60,C, Mr,Baxter,0.0,1,2,17558,PC,B,58,1,0.17982456140350878,0.6715399610136452,4
0,3,1,0.025,4,2,347082,0.06104473451835265,,S, Miss,Andersson,2.0,6,0,347082,347082,nan,0,0,0.06140350877192982,1.0,1
0,2,0,0.2625,2,1,S.O.C. 14879,0.1434624456306609,,S, Mr,Hickman,0.0,3,0,14879,S.O.C.,nan,0,2,0.45321637426900585,0.6569200779727096,4
0,3,0,0.325,0,1,A4. 54510,0.015712553569072387,,S, Mr,Moore,0.0,1,0,54510,A4.,nan,0,6,0.5292397660818714,1.0,4
0,2,0,0.40625,1,1,237736,0.058694292654020104,,C, Mr,Nasser,0.0,2,2,237736,237736,nan,0,5,1.0,0.6569200779727096,4
1,2,1,0.40625,0,1,27267,0.025374310111545468,E101,S, Miss,Webber,2.0,1,0,27267,27267,E,101,6,0.5292397660818714,0.6569200779727096,1
0,1,0,0.675,0,1,35281,0.15085515328815924,D26,S, Mr,White,0.0,1,0,35281,35281,D,26,2,0.45321637426900585,0.6715399610136452,4
1,3,0,0.15,1,1,2651,0.021942337075458514,,C, Master,Nicola-Yarred,3.0,2,2,2651,2651,nan,0,6,0.5292397660818714,1.0,3
0,3,0,0.325,0,1,370372,0.015126992566498259,,Q, Mr,McMahon,0.0,1,1,370372,370372,nan,0,6,0.5292397660818714,1.0,4
1,3,0,0.3,0,1,C 17369,0.01393967004027879,,S, Mr,Madsen,0.0,1,0,17369,C,nan,0,6,0.5292397660818714,1.0,4
1,3,1,0.2375,1,1,2668,0.04364049521284361,F E69,C, Miss,Peter,2.0,2,2,2668,2668,E,69,5,1.0,1.0,1
0,3,0,0.5625,0,1,347061,0.013614293309848433,,S, Mr,Ekstrom,0.0,1,0,347061,347061,nan,0,6,0.5292397660818714,1.0,4
0,3,0,0.4125,0,1,349241,0.015411575213749284,,C, Mr,Drazenoic,0.0,1,2,349241,349241,nan,0,6,0.5292397660818714,1.0,4
0,3,0,0.25,0,1,SOTON/O.Q. 3101307,0.013760683560491965,,S, Mr,Coelho,0.0,1,0,3101307,SOTON/O.Q.,nan,0,6,0.5292397660818714,1.0,4
0,3,1,0.5875,1,1,A/5. 3337,0.028302115124416098,,S, Mrs,Robins,1.0,2,0,3337,A/5.,nan,0,6,0.5292397660818714,1.0,1
1,2,1,0.3625,1,1,228414,0.050748620223090936,,S, Mrs,Weisz,1.0,2,0,228414,228414,nan,0,5,1.0,0.6569200779727096,1
0,2,0,0.3125,0,1,C.A. 29178,0.025374310111545468,,S, Mr,Sobey,0.0,1,0,29178,C.A.,nan,0,6,0.5292397660818714,0.6569200779727096,4
0,2,0,0.2875,0,1,SC/PARIS 2133,0.02936744577509929,,C, Mr,Richard,0.0,1,2,2133,SC/PARIS,nan,0,6,0.5292397660818714,0.6569200779727096,4
1,1,1,0.2375,0,2,11752,0.051301584996521765,D47,S, Miss,Newsom,2.0,2,0,11752,11752,D,47,5,1.0,0.6715399610136452,1
0,1,0,0.4625,1,1,113803,0.10364429745562033,C123,S, Mr,Futrelle,0.0,2,0,113803,113803,C,123,3,0.4166666666666667,0.6715399610136452,4
0,3,0,0.2,0,1,7534,0.01798980030808316,,S, Mr,Osen,0.0,1,0,7534,7534,nan,0,6,0.5292397660818714,1.0,4
0,1,0,0.3,0,1,PC 17593,0.15458810467956932,B86,C, Mr,Giglio,0.0,1,2,17593,PC,B,86,2,0.45321637426900585,0.6715399610136452,4
0,3,1,0.425,0,2,2678,0.029757819776815374,,C, Mrs,Boulos,1.0,2,2,2678,2678,nan,0,6,0.5292397660818714,1.0,1
1,3,1,0.275,0,1,347081,0.015126992566498259,,S, Miss,Nysten,2.0,1,0,347081,347081,nan,0,6,0.5292397660818714,1.0,1
1,3,1,0.3,1,1,STON/O2. 3101279,0.030937139635999665,,S, Mrs,Hakkarainen,1.0,2,0,3101279,STON/O2.,nan,0,6,0.5292397660818714,1.0,1
0,3,0,0.2375,0,1,365222,0.013175122557917838,,Q, Mr,Burke,0.0,1,1,365222,365222,nan,0,6,0.5292397660818714,1.0,4
0,2,0,0.225,0,1,231945,0.022446505098674834,,S, Mr,Andrew,0.0,1,0,231945,231945,nan,0,6,0.5292397660818714,0.6569200779727096,4
0,2,0,0.2375,1,1,C.A. 33112,0.07173122281533045,,S, Mr,Nicholls,0.0,2,0,33112,C.A.,nan,0,4,0.8523391812865497,0.6569200779727096,4
1,3,0,0.3375,0,1,350043,0.015216388212891242,,S, Mr,Andersson,0.0,1,0,350043,350043,nan,0,6,0.5292397660818714,1.0,4
0,3,1,0.1125,2,2,W./C. 6608,0.06709553154495196,,S, Miss,Ford,2.0,4,0,6608,W./C.,nan,0,0,0.06140350877192982,1.0,1
0,2,0,0.45625,0,2,230080,0.050748620223090936,F2,S, Mr,Navratil,0.0,2,0,230080,230080,F,2,5,1.0,0.6569200779727096,4
0,2,0,0.525,0,1,244310,0.025374310111545468,,S, Rev,Byles,6.0,1,0,244310,244310,nan,0,6,0.5292397660818714,0.6569200779727096,2
0,2,0,0.6375,0,1,S.O.P. 1166,0.02444717185746977,,S, Rev,Bateman,6.0,1,0,1166,S.O.P.,nan,0,6,0.5292397660818714,0.6569200779727096,2
1,1,1,0.275,1,1,113776,0.12999454257145598,C2,S, Mrs,Pears,1.0,2,0,113776,113776,C,2,2,0.45321637426900585,0.6715399610136452,1
0,3,0,0.69375,0,1,A.5. 11206,0.015712553569072387,,S, Mr,Meo,0.0,1,0,11206,A.5.,nan,0,6,0.5292397660818714,1.0,4
0,3,0,0.50625,0,2,A/5. 851,0.028302115124416098,,S, Mr,van Billiard,0.0,2,0,851,A/5.,nan,0,6,0.5292397660818714,1.0,4
0,3,0,0.325,0,1,Fa 265302,0.014273049437744325,,S, Mr,Olsen,0.0,1,0,265302,Fa,nan,0,6,0.5292397660818714,1.0,4
0,1,0,0.6375,0,1,PC 17597,0.11980421963065935,,C, Mr,Williams,0.0,1,2,17597,PC,nan,0,2,0.45321637426900585,0.6715399610136452,4
1,3,1,0.2,0,1,35851,0.015094396337354966,,Q, Miss,Gilnagh,2.0,1,1,35851,35851,nan,0,6,0.5292397660818714,1.0,1
0,3,0,0.375,0,1,SOTON/OQ 392090,0.015712553569072387,,S, Mr,Corn,0.0,1,0,392090,SOTON/OQ,nan,0,6,0.5292397660818714,1.0,4
0,3,0,0.325,0,1,315037,0.016908073949327893,,S, Mr,Smiljanic,0.0,1,0,315037,315037,nan,0,6,0.5292397660818714,1.0,4
0,3,0,0.325,8,2,CA. 2343,0.13575255909676823,,S, Master,Sage,3.0,10,0,2343,CA.,nan,0,2,0.45321637426900585,1.0,3
0,3,0,0.55,0,1,371362,0.031425107138144774,,S, Mr,Cribb,0.0,1,0,371362,371362,nan,0,6,0.5292397660818714,1.0,4
1,2,1,0.5,0,1,C.A. 33595,0.030741952635141623,,S, Mrs,Watt,1.0,1,0,33595,C.A.,nan,0,6,0.5292397660818714,0.6569200779727096,1
0,3,0,0.325,0,1,347068,0.015175789316712771,,S, Mr,Bengtsson,0.0,1,0,347068,347068,nan,0,6,0.5292397660818714,1.0,4
0,3,0,0.2125,0,1,315093,0.016908073949327893,,S, Mr,Calic,0.0,1,0,315093,315093,nan,0,6,0.5292397660818714,1.0,4
0,3,0,0.0125,4,1,3101295,0.07746484096553544,,S, Master,Panula,3.0,5,0,3101295,3101295,nan,0,4,0.8523391812865497,1.0,3
1,3,0,0.1125,0,2,363291,0.04006213192611313,,S, Master,Goldsmith,3.0,2,0,363291,363291,nan,0,5,1.0,1.0,3
1,1,1,0.4125,0,1,113505,0.10735285047192313,E33,S, Mrs,Chibnall,1.0,1,0,113505,113505,E,33,3,0.4166666666666667,0.6715399610136452,1
0,3,1,0.5625,1,4,347088,0.05445717323939373,,S, Mrs,Skoog,1.0,5,0,347088,347088,nan,0,5,1.0,1.0,1
0,1,0,0.325,0,1,PC 17318,0.050602229972447406,,S, Mr,Baumann,0.0,1,0,17318,PC,nan,0,5,1.0,0.6715399610136452,4
0,3,0,0.35,0,1,1601,0.11027245763075773,,S, Mr,Ling,0.0,1,0,1601,1601,nan,0,2,0.45321637426900585,1.0,4
0,1,0,0.7625,0,1,111240,0.06538764528744409,B19,S, Mr,Van der hoef,0.0,1,0,111240,111240,B,19,0,0.06140350877192982,0.6715399610136452,4
0,3,0,0.05,4,1,382652,0.056848213999904744,,Q, Master,Rice,3.0,5,1,382652,382652,nan,0,5,1.0,1.0,3
1,3,1,0.0125,1,1,347742,0.021730754366528396,,S, Miss,Johnson,2.0,2,0,347742,347742,nan,0,6,0.5292397660818714,1.0,1
0,3,0,0.2625,0,1,STON/O 2. 3101280,0.015468569817999833,,S, Mr,Sivola,0.0,1,0,3101280,STON/O,nan,0,6,0.5292397660818714,1.0,4
0,1,0,0.7,0,1,17764,0.05991421140938287,A7,C, Mr,Smith,0.0,1,2,17764,17764,A,7,5,1.0,0.6715399610136452,4
